@relation one_day_logs_remove

@attribute _Start_proc_com.google.android.googlequicksearchbox_for_broadcast_com.google.android.googlequicksearchbox/com.google.android.apps.sidekick.GmmLocationProviderImpl$GmmPackageWatcher:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.talk_for_broadcast_com.google.android.talk/.McsConnectionStartedReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_broadcast_com.google.android.gms/.playlog.uploader.UploaderAlarmReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_broadcast_com.google.android.gms/.init.InitializeGmsReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.calendar_for_broadcast_com.android.calendar/.alerts.AlertReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.talk_for_broadcast_com.google.android.talk/.videochat.BootCompleteReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.defcontainer_for_service_com.android.defcontainer/.DefaultContainerService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_broadcast_com.google.android.gms/.common.status.StatusServiceLauncherBroadcastReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.aware_for_service_com.aware/.ApplicationsJB:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_service_com.google.android.gms/.ads.AdRequestBrokerService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.keychain_for_broadcast_com.android.keychain/.KeyChainBroadcastReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.googlequicksearchbox_for_broadcast_com.google.android.googlequicksearchbox/com.google.android.searchcommon.summons.SourceUpdateReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.process.gapps_for_service_com.google.android.gsf/.gtalkservice.service.GTalkService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.tts_for_service_com.google.android.tts/.GoogleTTSService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.deskclock_for_broadcast_com.android.deskclock/com.android.alarmclock.AnalogAppWidgetProvider:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.process.location_for_service_com.google.android.gms/com.google.android.location.internal.GoogleLocationManagerService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.aware_for_service_com.aware/.Installations:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.vending_for_service_com.android.vending/com.google.android.finsky.services.ContentSyncService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.inputmethod.latin_for_service_com.android.inputmethod.latin/.LatinIME:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.aware_for_service_com.aware/.Applications$BackgroundService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.noshufou.android.su_for_broadcast_com.noshufou.android.su/.InstallReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.noshufou.android.su_for_broadcast_com.noshufou.android.su/.UninstallReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.googlequicksearchbox_for_broadcast_com.google.android.googlequicksearchbox/com.google.android.apps.sidekick.StartUpReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.apps.uploader_for_broadcast_com.google.android.apps.uploader/com.google.android.picasasync.BatteryReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.noshufou.android.su_for_broadcast_com.noshufou.android.su/.SuResultReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms.drive_for_broadcast_com.google.android.gms/.drive.api.DriveSystemBroadcastReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gsf.login_for_service_com.google.android.gsf.login/com.google.android.gsf.loginservice.GoogleLoginService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.gallery3d_for_broadcast_com.android.gallery3d/.app.PackagesMonitor:_pid=_uid=_gids= {y}
@attribute _Start_proc_android.process.media_for_broadcast_com.android.providers.downloads/.DownloadReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.apps.uploader_for_broadcast_com.google.android.apps.uploader/com.google.android.picasasync.ConnectivityReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.svox.pico_for_broadcast_com.svox.pico/.VoiceDataInstallerReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.process.location_for_service_com.google.android.gms/com.google.android.location.reporting.service.DispatchingService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.email_for_broadcast_com.android.email/.service.EmailBroadcastReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.process.gapps_for_broadcast_com.google.android.gms/.gcm.ServiceAutoStarter:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.voicedialer_for_broadcast_com.android.voicedialer/.VoiceDialerReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.settings_for_broadcast_com.android.settings/.cmstats.ReportingServiceManager:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.cyanogenmod.trebuchet_for_broadcast_com.cyanogenmod.trebuchet/.InstallShortcutReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.onetimeinitializer_for_broadcast_com.google.android.onetimeinitializer/.OneTimeInitializerReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.exchange_for_service_com.android.exchange/.ExchangeService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.setupwizard_for_broadcast_com.google.android.setupwizard/.GservicesChangedReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.cyanogenmod.updater_for_broadcast_com.cyanogenmod.updater/.receiver.UpdateCheckReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.calendar_for_broadcast_com.android.calendar/.widget.CalendarAppWidgetService$CalendarFactory:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.talk_for_broadcast_com.google.android.talk/.videochat.XmppReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.syncadapters.calendar_for_service_com.google.android.syncadapters.calendar/.CalendarSyncAdapterService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_service_com.google.android.gms/.security.snet.SnetService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.providers.calendar_for_broadcast_com.android.providers.calendar/.CalendarReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.mms_for_broadcast_com.android.mms/.transaction.PrivilegedSmsReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.gms_for_service_com.google.android.gms/.app.service.PackageBroadcastService:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.vending_for_broadcast_com.android.vending/com.google.android.finsky.receivers.BootCompletedReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.apps.genie.geniewidget_for_broadcast_com.google.android.apps.genie.geniewidget/.miniwidget.MiniWidgetProvider:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.android.mms_for_broadcast_com.android.mms/.transaction.MmsSystemEventReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_android.process.acore_for_broadcast_com.android.providers.contacts/.PackageIntentReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.google.android.talk_for_broadcast_com.google.android.talk/.ConnectionStateOnlineReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_android.process.media_for_broadcast_com.android.providers.media/.UsbReceiver:_pid=_uid=_gids= {y}
@attribute _Start_proc_com.bel.android.dspmanager_for_service_com.bel.android.dspmanager/.service.HeadsetService:_pid=_uid=_gids= {y}


@data
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,y,?,?,?,?,?,?,y,?,?,?,?,y,?,?,?,?
?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?
?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?
?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?
?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,y,?,?,?,?,?,?,?,?,?,?,y,y,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,y,y,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,y,?,?,y,?,?,?,?,?,?,?,y,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,y,y,?,?,?,?,?,?,y,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,y,y,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,y,y,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y
?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
